"ray/tune/custom_metrics/real_step_max","threshold_type: s - _step","threshold_type: s - _step__MIN","threshold_type: s - _step__MAX","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: s - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: concave - _step","threshold_type: concave - _step__MIN","threshold_type: concave - _step__MAX","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: concave - ray/tune/custom_metrics/energy_cost_mean__MAX","threshold_type: convex - _step","threshold_type: convex - _step__MIN","threshold_type: convex - _step__MAX","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean__MIN","threshold_type: convex - ray/tune/custom_metrics/energy_cost_mean__MAX"
"407","15","15","15","106.3451919555664","106.3451919555664","106.3451919555664","","","","","","","14","14","14","106.99163055419922","106.99163055419922","106.99163055419922"
"409","17","17","17","103.66231536865234","103.66231536865234","103.66231536865234","","","","","","","","","","","",""
"413","","","","","","","11","11","11","102.96064758300781","102.96064758300781","102.96064758300781","","","","","",""
"416","16","16","16","111.1292724609375","111.1292724609375","111.1292724609375","11","11","11","113.27523040771484","113.27523040771484","113.27523040771484","15","15","15","104.91471862792969","104.91471862792969","104.91471862792969"
"420","","","","","","","11","11","11","109.25752258300781","109.25752258300781","109.25752258300781","","","","","",""
"421","16","16","16","109.12364196777344","109.12364196777344","109.12364196777344","","","","","","","","","","","",""
"425","17","17","17","102.96401977539062","102.96401977539062","102.96401977539062","","","","","","","","","","","",""
"426","","","","","","","","","","","","","15.666666666666666","15","17","109.72466532389323","107.39356231689453","114.07347106933594"
"430","16","16","16","102.66140747070312","102.66140747070312","102.66140747070312","","","","","","","","","","","",""
"439","","","","","","","11","11","11","110.32084655761719","110.32084655761719","110.32084655761719","","","","","",""
"442","18","18","18","101.17090606689453","101.17090606689453","101.17090606689453","","","","","","","","","","","",""
"444","","","","","","","12","12","12","113.27500915527344","113.27500915527344","113.27500915527344","15","15","15","102.1826400756836","102.1826400756836","102.1826400756836"
"447","17","17","17","100.78675842285156","100.78675842285156","100.78675842285156","11","11","11","102.94728088378906","102.94728088378906","102.94728088378906","16","16","16","101.86260986328125","101.86260986328125","101.86260986328125"
"448","17","17","17","107.9041748046875","107.9041748046875","107.9041748046875","","","","","","","","","","","",""
"451","","","","","","","","","","","","","16","16","16","108.1722412109375","108.1722412109375","108.1722412109375"
"453","","","","","","","12","12","12","111.40668487548828","111.40668487548828","111.40668487548828","18","18","18","109.6742935180664","109.6742935180664","109.6742935180664"
"454","","","","","","","12","12","12","105.94815826416016","105.94815826416016","105.94815826416016","","","","","",""
"455","","","","","","","","","","","","","16","16","16","110.93217468261719","110.93217468261719","110.93217468261719"
"460","17","17","17","103.03106689453125","103.03106689453125","103.03106689453125","","","","","","","","","","","",""
"461","18","18","18","104.6008529663086","104.6008529663086","104.6008529663086","","","","","","","","","","","",""
"465","18","18","18","111.41613006591797","111.41613006591797","111.41613006591797","","","","","","","","","","","",""
"468","","","","","","","","","","","","","16","16","16","110.27660369873047","110.27660369873047","110.27660369873047"
"469","18.5","18","19","101.20136260986328","100.72431945800781","101.67840576171875","","","","","","","","","","","",""
"470","","","","","","","","","","","","","17","17","17","107.83316802978516","107.83316802978516","107.83316802978516"
"477","","","","","","","","","","","","","19","19","19","107.4463119506836","107.4463119506836","107.4463119506836"
"478","","","","","","","12","12","12","106.02204132080078","106.02204132080078","106.02204132080078","","","","","",""
"481","18","18","18","104.96704864501953","104.96704864501953","104.96704864501953","","","","","","","","","","","",""
"482","","","","","","","","","","","","","17","17","17","104.8658447265625","104.8658447265625","104.8658447265625"
"487","","","","","","","12.5","12","13","110.25220108032227","107.32162475585938","113.18277740478516","","","","","",""
"489","","","","","","","13","13","13","106.04167938232422","106.04167938232422","106.04167938232422","","","","","",""
"490","19","19","19","104.64111328125","104.64111328125","104.64111328125","","","","","","","","","","","",""
"491","19","19","19","106.35459899902344","106.35459899902344","106.35459899902344","","","","","","","","","","","",""
"492","20","20","20","106.17533874511719","106.17533874511719","106.17533874511719","13","13","13","102.59663391113281","102.59663391113281","102.59663391113281","17","17","17","109.35255432128906","109.35255432128906","109.35255432128906"
"493","","","","","","","","","","","","","17","17","17","103.0132064819336","103.0132064819336","103.0132064819336"
"498","19","19","19","106.71736145019531","106.71736145019531","106.71736145019531","","","","","","","","","","","",""
"502","","","","","","","","","","","","","20","20","20","107.1758804321289","107.1758804321289","107.1758804321289"
"504","","","","","","","","","","","","","18","18","18","107.88951110839844","107.88951110839844","107.88951110839844"
"505","19","19","19","107.87686920166016","107.87686920166016","107.87686920166016","","","","","","","","","","","",""
"510","","","","","","","13","13","13","107.08879852294922","107.08879852294922","107.08879852294922","","","","","",""
"515","","","","","","","","","","","","","18","18","18","107.20938110351562","107.20938110351562","107.20938110351562"
